Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Tanner Houck","BOS",7,5,16,16,1,1,13,103.1,101,2.1774194218241605,50.73557431481738,2.2256018839070992,52.86909167270395,-0.04818246208293875,202.9550817087604,14.993558129445184,88.73976402523644,77.29511902156307,107.27589966183774,52.856969148896795,0.19951923,2.1276401979848742,3.1488834004849195,-0.8092988468671738,3.7345719612816315,"Tanner Houck",19879,656557
"Garrett Crochet","CHW",6,6,17,17,0,0,10,94.1,130,3.053003574721853,74.81162469664433,2.559148012170138,59.30054668768969,0.4938555625517149,235.10638178609088,82.12019328252703,83.44353378709596,75.35591155283163,153.99571745725981,65.50044434808247,0.29490617,1.944454163312912,2.255534738302231,-0.32675798556916225,3.2239936300164205,"Garrett Crochet",27463,676979
"Tyler Glasnow","LAD",8,5,16,16,0,0,11,100,135,2.88,70.87362425692388,2.653989009857178,64.62241619488776,0.226010990142822,196.56012259513872,88.31708180807125,70.50978135589762,67.51795138711249,157.47050401526107,80.11315461094094,0.28645833,0.8697460554540157,2.172905234619975,-1.0767639180528208,3.1401207306929364,"Tyler Glasnow",14374,607192
"Ranger Suárez","PHI",10,2,16,16,1,1,11,98.1,99,1.8305084982469009,44.23730880740431,2.6553449353538894,64.31655734206544,-0.8248364371069885,189.6632761595549,48.98944508789127,81.19742554352915,71.02999068869569,116.69393104295442,61.52690337123813,0.21052632,2.5986240692436695,2.5950077790766954,0.443372822120748,3.136037463852008,"Ranger Suarez",17277,624133
"Chris Sale","ATL",10,3,15,15,0,0,9,93.2,118,2.78647688724122,66.64055502226293,2.330572634025544,59.05370942822967,0.45590425321567585,252.65898109216525,60.0019000504172,82.13099755322769,71.2546798221236,144.80575287264682,57.312731334327374,0.27671233,1.4689400494098663,2.474411554634571,-0.7192522842566327,3.063504189332477,"Chris Sale",10603,519242
"Cole Ragans","KCR",5,5,17,17,1,0,12,98,120,3.030612303881982,71.56821933689741,2.5617440999820307,61.47646587572897,0.4688682038999512,131.5280457413036,47.42860171021604,91.75108157434309,92.09687036484246,131.89529852418252,100.27922654299046,0.21641791,1.871940053999424,1.8014407842420042,0.11591399197393715,3.0368018352746033,"Cole Ragans",21846,666142
"Tarik Skubal","DET",9,3,16,16,0,0,11,97,112,2.319587674476932,57.70101763117932,2.710071474961792,65.91383893318802,-0.39048380048485987,213.21388469289042,63.8900751688492,84.41099504839565,74.93110939498771,128.53796354661404,60.28592909259154,0.24155844,1.9617959740571678,2.1015456076711416,0.2814756509310943,2.758979181458482,"Tarik Skubal",22267,669373
"Cristopher Sánchez","PHI",5,3,15,15,0,0,8,84.1,70,2.667984229950799,64.47631485275903,2.521815086980316,61.16486967469643,0.146169142970483,106.1667328589101,9.520346727240755,106.17661872408111,99.38583698725559,90.35771447855791,85.10926098795414,0.13256484,1.1805203072726727,1.3070733807981014,-0.1597071873644651,2.7163773477816138,"Cristopher Sanchez",20778,650911
"Zack Wheeler","PHI",9,4,17,17,0,0,13,105.2,112,2.7255520914714357,65.86753880496097,3.3348722930343113,80.3553533036212,-0.6093202015628756,131.50975941303187,75.98257797810686,77.81730986246141,76.38275916331881,119.4442931174095,90.82542778996357,0.19285714,2.0651521496474743,2.0447561144828796,0.16551152770525013,2.699700062557554,"Zack Wheeler",10310,554430
"Dylan Cease","SDP",7,6,17,17,0,0,9,98.1,125,3.844067958162222,96.93859701039386,3.0621245983762666,75.96612011852434,0.7819433597859553,151.66676123741445,89.81398527428527,82.32235437728647,82.07910273948542,140.32459281999036,92.52165806685295,0.23809524,0.28537630569189787,0.9688461821060628,-0.641764761983358,2.5814621253619365,"Dylan Cease",18525,656302
"George Kirby","SEA",7,5,17,17,0,0,10,99.1,96,3.3523490362020025,87.96198133043913,3.043116524960403,76.11431111541869,0.30923251124159945,385.8156008556253,85.78528909901183,95.62183032826069,77.19136579738563,107.11496976946147,27.763256127797654,0.21969697,1.431860089302063,0.7720743604004383,0.821523738626424,2.5518860497788536,"George Kirby",25436,669923
"Logan Webb","SFG",6,6,17,17,0,0,12,105.1,91,3.161392443227073,78.48441069614486,2.775254827828538,71.4764631168016,0.386137615398535,144.01748112373545,38.11151447391533,106.07128477693422,95.04382184723809,94.13479207772426,65.36345280816984,0.15704388,1.1759865395724773,1.2726509775966406,-0.0755116161532341,2.532639559986682,"Logan Webb",17995,657277
"Sonny Gray","STL",9,4,14,14,0,0,7,83.1,103,2.8080000749816914,69.09484826322101,2.621988995117187,66.08796437449675,0.1860110798645045,170.418288078798,67.44213699979011,77.05840930814638,73.57128692431546,141.9549483001938,83.29796063530371,0.24923077,1.4511702321469784,1.4795864587649703,0.033266989566671734,2.431243035353477,"Sonny Gray",12768,543243
"Seth Lugo","KCR",10,2,17,17,0,0,13,110,95,2.2909091504940333,54.10005375925084,3.3830799243863954,81.7369892742374,-1.092170773892362,132.16039209767035,63.38185906403994,92.06591371700014,83.50215090962634,95.3992697161942,72.18446813112385,0.15681818,2.900668061338365,2.251573118381202,0.5897754171864658,2.4222352842640515,"Seth Lugo",12447,607625
