Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Chris Sale","ATL",7,0,13,13,0,0,9,79,101,1.8227848541352683,43.593182101005276,1.6550016314111209,42.432009892306546,0.16778322272414736,183.8201146491575,10.163070649064249,93.35967031561187,85.46576331296527,143.16305730387984,77.88215587017203,0.25632911,2.67292420566082,2.086064800620079,0.3929996089313632,3.3674719218234888,"Chris Sale",10603,519242
"Framber Valdez","HOU",8,1,13,13,0,0,8,83,96,2.1686747984679258,54.40574538111458,2.427001023718226,58.80878607951528,-0.2583262252503,138.893616316706,37.33335815872677,79.84823855929318,77.94700675205138,131.73145331044765,94.84342391429269,0.22049689,2.348070450127125,2.0277876611799,0.3248779600380969,2.666359540258305,"Framber Valdez",17295,664285
"Tarik Skubal","DET",7,1,13,13,0,0,10,83,102,2.710843404641708,67.43371884913545,2.3908564707384627,57.94540634189104,0.31998693390324506,263.52583450362863,65.33337452572013,89.07004347639148,76.02238668087978,139.1006897923543,52.78446329319139,0.27160494,2.03996239323169,1.7925372700556181,0.15665148803446893,2.634627288721651,"Tarik Skubal",22267,669373
"Blake Snell","SFG",3,0,12,12,1,1,8,68.1,93,1.448780494544706,35.96727878122639,2.0178914435033217,52.447855231802855,-0.5691109489586157,125.37785596014528,23.4990019207792,53.253179888009626,64.7354625226074,162.08637080384085,129.27831743390533,0.25680934,2.1656699012964964,2.4878674978390336,-0.48010094303818107,2.3785761429788748,"Blake Snell",13543,605483
"Paul Skenes","PIT",6,2,12,12,0,0,8,73.2,90,2.076923094848038,49.126344079824676,2.7124505443353915,66.95549896461443,-0.6355274494873533,142.43487143625703,54.494292001416134,78.51430368103985,76.90451698857062,140.4614947927213,98.61454794551413,0.23344948,1.7093641236424446,1.7471096478402615,-0.05031208448234992,2.115717094643389,"Paul Skenes",33677,694973
"Michael King","SDP",7,4,12,12,0,0,7,68,82,2.11764708852273,53.402213477693095,2.6739890028448667,66.55113486074374,-0.5563419143221369,135.6728118823402,47.22838665598127,85.86723053370865,85.59578135652416,132.119137153512,97.38070957499254,0.21582734,0.9665642790496349,1.233424061909318,-0.1916715934383979,2.1043476126682994,"Michael King",19853,650633
"Hunter Brown","HOU",6,3,13,13,0,0,9,77.2,79,2.781115936744181,69.77011289878817,2.9808559586943875,72.62530367160431,-0.19974002195020635,119.06028305986842,49.871276526397054,100.14863819301179,96.66865858764159,108.74171599460144,91.33333132136777,0.17133956,1.6953061670064926,1.1501886770129204,0.46665137347041097,2.103027443641398,"Hunter Brown",25880,686613
"Zack Wheeler","PHI",6,2,12,12,0,0,10,74,87,2.4324324324324325,58.78381049293842,3.038853874722043,73.36846902514334,-0.6064214422896104,175.93344305141673,86.79811479908723,78.05245483585725,73.41187631403967,133.4544543296861,75.85508558955094,0.23630137,1.7581181563436985,1.1656834091991186,0.7902550415119429,2.025137974012377,"Zack Wheeler",10310,554430
"Pablo López","MIN",8,2,13,13,0,0,10,81.1,82,2.54508200700294,63.20666677005708,3.0141529417845296,72.94595462727874,-0.4690709347815898,185.37233948518704,66.67217346032044,100.03251036579353,87.4005041614665,110.46231276806617,59.58942871012868,0.20121951,0.9754742467775941,1.2740312982350588,-0.1981586823544026,1.9727210030764661,"Pablo Lopez",17085,641154
"Seth Lugo","KCR",6,6,13,13,1,0,8,83,74,3.7951807664983908,89.6235817336365,3.1257962382191034,75.39037441979929,0.6693845282792874,140.87345952793936,56.00003530776011,101.18668176148373,91.41932575548837,96.45086872449993,68.46632035539206,0.16224189,0.8114462085068226,1.2428313121199608,-0.3864468849510193,1.9676711178356312,"Seth Lugo",12447,607625
"Cristopher Sánchez","PHI",5,6,13,13,2,1,8,80.2,65,4.016529052246631,97.06616286584399,3.173989009857178,76.55804606743958,0.8425400423894533,182.00011351401733,69.67162946807869,106.17661872408111,93.32062540644161,86.65043564530292,47.61010356478416,0.1547619,0.7247299514710903,0.7556549496948719,-0.05459167139898424,1.8909210980942313,"Cristopher Sanchez",20778,650911
"Logan Gilbert","SEA",2,7,14,14,1,0,9,85.1,99,3.9023438953736385,102.3932463961743,3.091957756801276,77.36450586920033,0.8103861385723623,275.45008042186345,99.8594405335721,82.28744800315299,70.1996690981713,130.96729270468822,47.54665488716992,0.25748503,0.1369900144636631,1.1174005009233952,-0.9566766553139594,1.8883268751837383,"Logan Gilbert",22250,669302
"Ryne Nelson","ARI",5,0,13,12,0,0,8,79.2,79,3.163180055159328,75.61485855526466,3.173989009857178,80.90365519551906,-0.010808954697850037,179.72511209509213,80.62419385430468,89.6548467709171,78.90570339640318,112.69226696734431,62.70257666838869,0.20063694,1.1468581187073141,1.245222792495042,0.06762938158496579,1.784663465234005,"Ryne Nelson",26253,669194
"Bryce Miller","SEA",5,2,13,13,0,0,8,75,73,2.160000054931642,56.676044902800484,3.0406556731330023,76.05132040186598,-0.8806556182013603,220.0354598646693,72.30226881644857,89.0152311419445,74.54684772550702,111.22412141026217,50.54827442209249,0.21034483,2.217718510888517,1.8862302182242274,0.4929148726456054,1.7563891084900725,"Bryce Miller",29837,682243
"Gerrit Cole","NYY",6,4,13,13,0,0,6,71.1,82,3.4065421623416934,84.01219818483273,3.3281946221442507,78.22537036531142,0.07834754019744272,134.81624688845324,76.01874101618633,98.94329089921833,96.29382588801765,120.37089224382522,89.28515755889629,0.19933555,0.6031502056866884,0.5566775351762772,0.04180450024813065,1.7377566168078178,"Gerrit Cole",13125,543037
"Dylan Cease","SDP",6,5,14,14,1,1,6,77.2,90,3.2446352993759775,81.82227711767035,3.2641177681731772,80.86585809078265,-0.019482468797199726,102.37506385163475,72.36280837685453,81.65487582828143,87.93221720612809,129.2065671904068,126.20903186223624,0.18589744,0.7979240044951439,1.1150537701323628,-0.2140201973123439,1.7158946383565579,"Dylan Cease",18525,656302
"Bailey Ober","MIN",5,3,13,13,0,0,11,79.2,85,3.2761506537605083,81.36262882334144,3.374825831543646,81.88086900011716,-0.09867517778313761,146.40324138286698,87.51469922193877,70.83440143921312,69.17751289551809,121.54429230038004,83.02022480474196,0.20711974,1.2497922200709581,1.714460015296936,-0.380699183164686,1.6853598865907322,"Bailey Ober",21224,641927
"Zach Eflin","- - -",7,4,12,12,0,0,8,73.1,65,2.822727358380628,71.84181672770556,3.3921708346595447,83.66397342088254,-0.5694434762789169,195.92198480968563,84.50914578505724,101.46966303727002,88.22183808260182,95.4159510183148,48.70099518081087,0.17607973,1.2817564569413662,0.7011006427928805,0.7350452515555455,1.6641178616345988,"Zach Eflin",13774,621107
"Zac Gallen","ARI",7,2,14,14,0,0,5,74.1,73,3.8744395281606003,92.61730024661325,3.2278006699705197,82.24585913588429,0.6466388581900806,78.15298990145449,32.4033326485781,96.65859859531548,105.44786155483756,102.18086038323607,130.74466966388104,0.121875,0.20050401240587234,0.6006511598825455,-0.4033348115086606,1.6514852971869296,"Zac Gallen",19291,668678
"Brady Singer","KCR",5,6,13,13,0,0,6,74,68,3.7702703674489193,89.03532011381184,3.3226376623372427,80.24601344179554,0.44763270511167663,122.97872278041675,62.810851310006555,115.77202445873709,106.85527887106423,96.6101253337624,78.55841131499788,0.15434084,0.5046561323106289,0.7273526173084974,-0.18840265802062806,1.6084309036450126,"Brady Singer",25377,663903
"Spencer Schwellenbach","ATL",5,4,13,13,0,0,7,77,88,3.1558442340168207,75.47423496733396,3.329833169561712,83.63944255696123,-0.17398893554489137,246.40015367211578,114.69751168279568,92.7267233982179,80.63048581529611,127.15037652989022,51.60320820734399,0.24193548,0.8702720860019326,0.5353058027103543,0.43555211505835323,1.5800065840081146,"Spencer Schwellenbach",31846,680885
"Cole Ragans","KCR",6,4,13,13,0,0,7,75.1,91,3.7035399324061786,87.45947406927884,3.5456704367653247,85.74773467526471,0.15786949564085395,121.90701276457665,92.54873258828216,89.25176895798104,91.18087922966008,129.70413494942133,106.3959653612148,0.20645161,0.2493300149217248,0.7909577032551169,-0.5556011644226032,1.5753919023777525,"Cole Ragans",21846,666142
"Michael Wacha","KCR",9,1,13,13,0,0,8,77.2,71,2.66523607331989,62.93982230443591,3.7018860098867212,89.60122453945361,-1.0366499365668314,128.40425466778808,89.76829664524362,98.62453029709457,90.49831756655705,100.22778507643437,78.05644074494784,0.1629393,1.4301740061491728,1.037423932692036,0.44543021186507614,1.5406457544937902,"Michael Wacha",14078,608379
